"Resp_Day","ID_fish","chamber_ch","Temp_class","RMR","RMR_var","RMR_perc","time_start","time_end","mass","length","volume_net","SMR","MMR","log_mass","Month","resid","SMR_mass","SMR_resid","RMR_mass","RMR_resid","MMR_mass","MMR_resid","Rack","Bin","TagID","Final_Mass_g","Final_Length_mm","Gonad_mass_g","Sex","Fat_mass_g","Ventricle_mass_g","Otolith_age_y","mass_prev","SGR","Period_start","Period_end","SMR_prev","SMR_mass_prev","RMR_prev","RMR_mass_prev","MMR_prev","MMR_mass_prev","Overall_SGR","SGR_predict","SGR_resid","time","Month_int","GutRatio_1","GutRatio_2"
3,114,"B3",18,0.508343820176678,0.0616578720105269,12.1291672217236,2023-04-29 14:09:00,2023-04-30 09:02:00,1.76,72,708.24,0.236951025085704,1.17627502140732,0.24551266781415,"April",-0.137240030476517,0.519365023533421,-0.00816132410812302,0.686845078949193,-0.0451502426669681,1.32575819665359,-0.137240030476517,3,10,"YR",3.385,85,0.024,"F",0.105,"0.001",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17,0,0.564324324,0.616504854
3,115,"A1",18,0.380731750855785,0.0233002721341446,6.11986577998071,2023-04-29 14:09:00,2023-04-30 09:02:00,2.44,80,707.56,0.199323291384655,1.4522340091163,0.387389826338729,"April",-0.05192198989573,0.614137503585208,0.0646315963214239,0.737151293087557,-0.0144524019655291,1.61354975395111,-0.05192198989573,3,10,"BrL",5.99,99,0.042,"M",0.293,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17,0,0.600360036,0.589600743
3,116,"A4",18,0.411597754596619,0.0488972352998501,11.8798595846985,2023-04-29 14:09:00,2023-04-30 09:02:00,2.05,80,707.95,0.179120965408966,0.840966932543706,0.311753861055754,"April",-0.120946614257183,0.458438800716916,-0.0623526552292707,0.653965045639775,-0.0664544977123015,1.37644143305691,-0.120946614257183,3,10,"BrR",6.99,104,0.227,"F",0.437,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17,0,0.598654709,0.5328125
3,117,"B1",18,0.265555090823081,0.013482043837625,5.07692915840469,2023-04-29 14:09:00,2023-04-30 09:02:00,1.53,70,708.47,0.111479009561379,0.985746077457034,0.184691430817599,"April",-0.0478508420155195,0.624938242399009,0.0722030786799815,0.974724696487298,0.106872936208969,1.62874655200218,-0.0478508420155195,3,10,"RL",3.109,85,0.012,"M",0.129,"0.006",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17,0,0.683195592,0.606060606
3,118,"A2",18,0.222790080740942,0.00733285308016331,3.29137323159817,2023-04-29 14:09:00,2023-04-30 09:02:00,1.99,67,708.01,0.0960319521688967,1.03369065675994,0.298853076409707,"April",-0.100609874189496,0.549032555278451,0.0159640740486097,0.635200702730767,-0.0790980637793963,1.44242910588263,-0.100609874189496,3,10,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17,0,NA,NA
3,119,"A3",18,0.542332341411833,0.0399854313080263,7.37286498605888,2023-04-29 14:09:00,2023-04-30 09:02:00,2.12,77,707.88,0.314216496685671,1.10736973323593,0.326335860928751,"April",-0.0935679872188535,0.440978887867139,-0.079216225114554,0.709360085764987,-0.0311422856993731,1.46600808060145,-0.0935679872188535,3,10,"BL",6.86,106,0.022,"M",0.477,"0.004",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17,0,0.519031142,0.580703336
3,120,"B2",18,0.10405013390189,0.0050352068183925,4.83921224276392,2023-04-29 14:09:00,2023-04-30 09:02:00,0.44,51,709.56,0.0255433411454896,0.504962507339611,-0.356547323513813,"April",-0.0468346809862842,0.388379202390985,-0.134378057469343,0.578734249449423,-0.119529849025404,1.63256195057481,-0.0468346809862842,3,10,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17,0,NA,NA
3,121,"C4",18,0.452693117927549,0.0453298111712052,10.0133643247609,2023-04-29 14:09:00,2023-04-30 09:02:00,1.85,71,708.15,0.287265817271921,1.29171500248208,0.267171728403014,"April",0.0755260084973984,0.412046270932908,-0.108688034889223,0.674766890316408,-0.0528552693288225,2.1638659839999,0.0755260084973984,3,11,"YL",3.76,88,5e-04,"I",0.07,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17,0,0.64091858,0.612810707
3,122,"D2",18,0.3174669893269,0.0264061283978706,8.31775563621825,2023-04-29 14:09:00,2023-04-30 09:02:00,1.91,72,708.09,0.0780413226089852,1.44604114823369,0.281033367247728,"April",0.0303582894367295,0.611221865197601,0.062564858864812,0.968911696642287,0.104275165049543,1.95012585732943,0.0303582894367295,3,11,"YR",3.04,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17,0,0.656376929,0.63697318
3,123,"C2",18,0.202544073562924,0.00821678912215498,4.05679069133676,2023-04-29 14:09:00,2023-04-30 09:02:00,0.42,51,709.58,0.109076713114097,0.573583691046478,-0.3767507096021,"April",-0.188882375383104,0.395535120070018,-0.12644897185807,0.595154691199078,-0.107379172469261,1.17712335352437,-0.188882375383104,3,11,"BrL",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17,0,0.621293801,0.555555556
