Date,Fish_Num,Rack,Bin,Rack_Bin,Mass_g,Length_mm,TagID,Month
5/04/2023,100,3,8,3.8,2.414,79,BrR,0
28/04/2023,100,3,8,3.8,2.26,77,BrR,1
5/04/2023,101,3,8,3.8,1.872,77,RL,0
28/04/2023,101,3,8,3.8,1.73,76,RL,1
5/04/2023,102,3,8,3.8,1.899,73,RR,0
28/04/2023,102,3,8,3.8,1.97,73,RR,1
23/05/2023,102,3,8,3.8,2.68,76,RR,2
16/06/2023,102,3,8,3.8,2.96,77,RR,3
5/04/2023,103,3,8,3.8,0.973,60,BL,0
28/04/2023,103,3,8,3.8,0.66,61,BL,1
23/05/2023,103,3,8,3.8,0.77,61,BL,2
16/06/2023,103,3,8,3.8,0.89,62,BL,3
5/04/2023,104,3,8,3.8,2.086,75,BR,0
28/04/2023,104,3,8,3.8,1.61,73,BR,1
23/05/2023,104,3,8,3.8,1.53,72,BR,2
5/04/2023,105,3,9,3.9,1.418,67,YL,0
28/04/2023,105,3,9,3.9,1.42,67,YL,1
23/05/2023,105,3,9,3.9,2.68,80,YL,2
16/06/2023,105,3,9,3.9,3.88,87,YL,3
5/04/2023,106,3,9,3.9,1.259,66,YR,0
28/04/2023,106,3,9,3.9,0.97,66,YR,1
23/05/2023,106,3,9,3.9,1.27,67,YR,2
16/06/2023,106,3,9,3.9,1.09,68,YR,3
5/04/2023,107,3,9,3.9,2.023,77,BrL,0
28/04/2023,107,3,9,3.9,1.88,78,BrL,1
23/05/2023,107,3,9,3.9,2.42,79,BrL,2
16/06/2023,107,3,9,3.9,2.83,85,BrL,3
5/04/2023,108,3,9,3.9,1.312,65,BrR,0
28/04/2023,108,3,9,3.9,1.07,66,BrR,1
23/05/2023,108,3,9,3.9,1.29,65,BrR,2
16/06/2023,108,3,9,3.9,1.3,65,BrR,3
5/04/2023,109,3,9,3.9,1.852,74,RL,0
28/04/2023,109,3,9,3.9,1.72,73,RL,1
23/05/2023,109,3,9,3.9,2.89,81,RL,2
16/06/2023,109,3,9,3.9,5.13,93,RL,3
5/04/2023,110,3,9,3.9,1.178,63,RR,0
28/04/2023,110,3,9,3.9,0.79,64,RR,1
23/05/2023,110,3,9,3.9,0.64,61,RR,2
16/06/2023,110,3,9,3.9,0.66,61,RR,3
5/04/2023,111,3,9,3.9,1.023,62,BL,0
28/04/2023,111,3,9,3.9,0.76,60,BL,1
23/05/2023,111,3,9,3.9,0.92,63,BL,2
16/06/2023,111,3,9,3.9,1.65,70,BL,3
5/04/2023,114,3,10,3.1,1.89,74,YR,0
29/04/2023,114,3,10,3.1,1.76,72,YR,1
24/05/2023,114,3,10,3.1,1.56,74,YR,2
17/06/2023,114,3,10,3.1,1.91,76,YR,3
5/04/2023,115,3,10,3.1,2.223,81,BrL,0
29/04/2023,115,3,10,3.1,2.44,80,BrL,1
24/05/2023,115,3,10,3.1,2.68,81,BrL,2
17/06/2023,115,3,10,3.1,3.74,86,BrL,3
5/04/2023,116,3,10,3.1,2.259,82,BrR,0
29/04/2023,116,3,10,3.1,2.05,80,BrR,1
24/05/2023,116,3,10,3.1,3.15,81,BrR,2
17/06/2023,116,3,10,3.1,4.39,86,BrR,3
5/04/2023,117,3,10,3.1,1.813,72,RL,0
29/04/2023,117,3,10,3.1,1.53,70,RL,1
24/05/2023,117,3,10,3.1,1.98,72,RL,2
17/06/2023,117,3,10,3.1,2.83,78,RL,3
5/04/2023,118,3,10,3.1,1.894,69,RR,0
29/04/2023,118,3,10,3.1,1.99,67,RR,1
24/05/2023,118,3,10,3.1,0.89,65,RR,2
5/04/2023,119,3,10,3.1,2.144,75,BL,0
29/04/2023,119,3,10,3.1,2.12,77,BL,1
24/05/2023,119,3,10,3.1,2.14,78,BL,2
17/06/2023,119,3,10,3.1,3.41,88,BL,3
5/04/2023,120,3,10,3.1,0.522,50,BR,0
29/04/2023,120,3,10,3.1,0.44,51,BR,1
